#File format: word,sPoint,nPoint,yPoint

#Sayori's winning words
Auschwitz,3,2,1
sadness,3,2,1
death,3,1,2
tragedy,3,1,2
alone,3,1,2
love,3,2,1
cattle,3,2,1
postmortem,3,2,1
witchery,3,2,1
subdued,3,2,1
disgrace,3,2,1
tears,3,1,2
depression,3,1,2
heart,3,2,1
unforgiven,3,2,1
puppets,3,2,1
needlework,3,2,1
breakfast,3,2,1
master,3,2,1
faster,3,1,2
friends,3,2,1
paranoid,3,2,1
frowning,3,2,1
satisfy,3,2,1
happiness,3,2,1
daydream,3,1,2
pain,3,1,2
mother,3,2,1
bed,3,2,1
magnolia,3,2,1
shame,3,1,2
fear,3,1,2
warm,3,2,1
rose,3,2,1
apocalypse,3,2,1
replica,3,2,1
shout,3,2,1
cry,3,1,2
laugh,3,2,1
dark,3,1,2
metamorphose,3,2,1
raincloud,3,2,1
masquerade,3,1,2
silly,3,2,1
injustice,3,2,1
wonderful,3,2,1
lunatic,3,1,2
isolation,3,1,2
stargazer,3,2,1
phoenix,3,2,1
resistance,3,2,1
megitsune,3,2,1
headbanger,3,2,1
awadama,3,2,1
syncopation,3,1,2
shanti,3,2,1
prayer,3,1,2
lightning,3,2,1
forgive,3,1,2
nature,3,2,1
ocean,3,2,1
magic,3,2,1
dancing,3,2,1
metal,3,2,1
picture,3,2,1
morning,3,1,2
loud,3,2,1
diver,3,1,2
velvet,3,1,2
sunset,3,2,1
tiger,3,2,1
rainbow,3,2,1
hurt,3,1,2
breaking,3,2,1
electric,3,2,1
scars,3,1,2
emptiness,3,1,2
painkiller,3,2,1
grief,3,1,2
embrace,3,1,2
changes,3,2,1
manUNkind,3,2,1
defeat,3,1,2
hopeless,3,1,2
misery,3,1,2
treasure,3,2,1
bliss,3,2,1
memories,3,2,1

#Natsuki's words
betrayed,2,3,1
hero,2,3,1
edge,1,3,2
realign,2,3,1
diamond,2,3,1
eyes,2,3,1
fate,2,3,1
emotions,2,3,1
survive,1,3,2
claustrophobic,2,3,1
catastrophic,2,3,1
gasoline,2,3,1
mOBSCENE,2,3,1
heartbeat,1,3,2
kiss,1,3,2
melody,2,3,1
evade,2,3,1
drugs,2,3,1
bang,2,3,1
beautiful,2,3,1
steeple,2,3,1
motherfucker,2,3,1
trash,2,3,1
worms,2,3,1
anti-people,2,3,1
hatred,2,3,1
victim,2,3,1
tourniquet,1,3,2
sugar,2,3,1
Kill4Me,2,3,1
attention,2,3,1
underdosed,2,3,1
stupid,2,3,1
nothing,2,3,1
human,2,3,1
zero,2,3,1
dope,2,3,1
Halloween,2,3,1
pill,2,3,1
nobodies,2,3,1
isolation,2,3,1
slave,1,3,2
fight,2,3,1
abuse,2,3,1
sickness,2,3,1
deny,2,3,1
mommy,2,3,1
kittie,2,3,1
fuck,2,3,1
madness,1,3,2
veins,1,3,2
hate,2,3,1
hard,2,3,1
anger,2,3,1
papa,2,3,1
valentine,2,3,1
bullet,1,3,2
bleed,2,3,1
Marlon Brando,2,3,1
behind,2,3,1
kneel,2,3,1
wait,2,3,1

#Yuri's words
snow,1,1,3
svicide,2,1,3
movntains,2,1,3
Transilvanian,2,1,3
Satan,1,1,3
forest,2,1,3
impenetrable,1,1,3
Dvnkelheit,1,1,3
war,1,1,3
svffering,1,1,3
corpses,1,1,3
decapitated,1,1,3
666,2,1,3
fvneral,2,1,3
demonic,2,1,3
chaos,1,1,3
blackened,1,1,3
prophecies,1,1,3
reverence,1,1,3
tyranny,1,1,3
north,1,1,3
winter,2,1,3
cold,1,1,3
wrath,2,1,3
frozen,2,1,3
massacre,2,1,3
ov,1,1,3
thvnder,1,1,3
twilight,1,1,3
frost,2,1,3
wind,1,1,3
inferno,2,1,3
fog,2,1,3
destiny,2,1,3
sovl,1,1,3
agonizing,2,1,3
Blashyrkh,1,1,3
shadow,2,1,3
extreme,1,1,3
ancestors,2,1,3
dream,2,2,3
domination,2,1,3
realm,2,1,3
barbaric,1,2,3
immortal,1,2,3
invincible,2,1,3
kvlt,1,1,3
trv,1,2,3
explode,1,2,3
tower,1,2,3
lvst,1,2,3
windy,1,2,3
halls,1,2,3
svmmoning,1,2,3
treason,1,1,3
doth,2,1,3
infinite,2,1,3
eternity,2,1,3
time,2,1,3
vniverse,2,1,3
vnending,2,1,3
black,2,1,3
centvries,1,1,3
wizard,1,1,3
landscape,2,1,3
bewildered,2,1,3
enchanted,2,1,3
evernight,1,1,3
anxiety,2,1,3
frightening,2,1,3
horror,2,1,3
melancholy,2,1,3
crvcified,2,1,3
roaring,2,1,3
steel,1,2,3
valiant,2,1,3
adamant,1,2,3
graveyard,2,1,3
