#File format: word,sPoint,nPoint,yPoint

#Sayori's winning words
Аушвиц,3,2,1
грусть,3,2,1
смерть,3,1,2
трагедия,3,1,2
одиночество,3,1,2
любовь,3,2,1
скотина,3,2,1
посмертно,3,2,1
ведьма,3,2,1
подавленный,3,2,1
позор,3,2,1
слёзы,3,1,2
депрессия,3,1,2
сердце,3,2,1
непрощённый,3,2,1
марионетка,3,2,1
иголка,3,2,1
завтрак,3,2,1
мастер,3,2,1
быстрота,3,1,2
друзья,3,2,1
параноик,3,2,1
грубый,3,2,1
удовлетворять,3,2,1
счастье,3,2,1
мечта,3,1,2
боль,3,1,2
мать,3,2,1
кровать,3,2,1
магнолия,3,2,1
позор,3,1,2
страх,3,1,2
тепло,3,2,1
роза,3,2,1
апокалипсис,3,2,1
копия,3,2,1
крик,3,2,1
плач,3,1,2
смех,3,2,1
темнота,3,1,2
метаморфоза,3,2,1
тучка,3,2,1
маскарад,3,1,2
глупый,3,2,1
несправедливость,3,2,1
чудесный,3,2,1
чудак,3,1,2
изоляция,3,1,2
звездочёт,3,2,1
феникс,3,2,1
сопротивление,3,2,1
мегицунэ,3,2,1
головорез,3,2,1
авадама,3,2,1
синкопация,3,1,2
шанти,3,2,1
молитва,3,1,2
молния,3,2,1
прощение,3,1,2
природа,3,2,1
океан,3,2,1
магия,3,2,1
танец,3,2,1
метал,3,2,1
картинка,3,2,1
утро,3,1,2
громкий,3,2,1
дайвер,3,1,2
бархат,3,1,2
закат,3,2,1
тигр,3,2,1
радуга,3,2,1
боль,3,1,2
сломать,3,2,1
электричество,3,2,1
шрамы,3,1,2
пустота,3,1,2
болеутоляющее,3,2,1
печаль,3,1,2
объятия,3,1,2
изменения,3,2,1
НЕчеловечество,3,2,1
поражение,3,1,2
безнадёжный,3,1,2
уныние,3,1,2
сокровище,3,2,1
блаженство,3,2,1
воспоминания,3,2,1

#Natsuki's words
предательство,2,3,1
герой,2,3,1
грань,1,3,2
перестройка,2,3,1
бриллиант,2,3,1
глаза,2,3,1
судьба,2,3,1
эмоции,2,3,1
выживание,1,3,2
клаустрофобия,2,3,1
катастрофа,2,3,1
бензин,2,3,1
mOBSCENE,2,3,1
Сердцебиение,1,3,2
поцелуй,1,3,2
мелодия,2,3,1
уклонение,2,3,1
наркотики,2,3,1
взрыв,2,3,1
замечательный,2,3,1
шпиль,2,3,1
уёбище,2,3,1
мусор,2,3,1
черви,2,3,1
антихайп,2,3,1
ненависть,2,3,1
жертва,2,3,1
турникет,1,3,2
сахар,2,3,1
Kill4Me,2,3,1
внимание,2,3,1
недодозировка,2,3,1
тупица,2,3,1
ничего,2,3,1
человек,2,3,1
ноль,2,3,1
наркотики,2,3,1
Халловин,2,3,1
таблетка,2,3,1
ноубоди,2,3,1
изоляция,2,3,1
раб,1,3,2
драка,2,3,1
злоупотребление,2,3,1
болезнь,2,3,1
отрицание,2,3,1
мамочка,2,3,1
котик,2,3,1
секс,2,3,1
бешенство,1,3,2
вены,1,3,2
ненависть,2,3,1
тяжело,2,3,1
злость,2,3,1
папочка,2,3,1
возлюбленная,2,3,1
пуля,1,3,2
кровотечение,2,3,1
Мэрлон Брандо,2,3,1
позади,2,3,1
преклонить,2,3,1
ожидание,2,3,1

#Yuri's words
снег,1,1,3
суитсыд,2,1,3
нагоръе,2,1,3
Трансильвания,2,1,3
Сатана,1,1,3
лес,2,1,3
непроникновенный,1,1,3
Dvnkelheit,1,1,3
война,1,1,3
сътраданийе,1,1,3
трупы,1,1,3
обезглавленный,1,1,3
666,2,1,3
кладъбище,2,1,3
демонический,2,1,3
хаос,1,1,3
почерневший,1,1,3
предсказание,1,1,3
реверанс,1,1,3
тирания,1,1,3
север,1,1,3
зима,2,1,3
холод,1,1,3
гнев,2,1,3
замороженный,2,1,3
бойня,2,1,3
изъ,1,1,3
гъромъ,1,1,3
сумерки,1,1,3
холод,2,1,3
ветер,1,1,3
инферно,2,1,3
туман,2,1,3
судьба,2,1,3
дъша,1,1,3
агонизирующий,2,1,3
Blashyrkh,1,1,3
тень,2,1,3
экстремальный,1,1,3
предки,2,1,3
мечта,2,2,3
доминация,2,1,3
мир,2,1,3
варварский,1,2,3
бессмертный,1,2,3
непобедимый,2,1,3
къльт,1,1,3
труъ,1,2,3
взрыв,1,2,3
башня,1,2,3
похъть,1,2,3
ветренный,1,2,3
зал,1,2,3
възов,1,2,3
измена,1,1,3
делаетъ,2,1,3
бесконечный,2,1,3
вечность,2,1,3
время,2,1,3
въселенная,2,1,3
бъсконечьнъcъть,2,1,3
чёрный,2,1,3
сътолетия,1,1,3
колдун,1,1,3
ландшафт,2,1,3
одичавший,2,1,3
очарованный,2,1,3
вечность,1,1,3
тревожность,2,1,3
пугающий,2,1,3
ужасъ,2,1,3
меланхолия,2,1,3
ръсъпятие,2,1,3
ревущий,2,1,3
сталь,1,2,3
доблестный,2,1,3
непреклонный,1,2,3
кладбище,2,1,3
